,book_name,author_name,book_genre,year_published,edition_language,avg_rating,no_of_raters,score,no_of_ppl_voted,book_url
339,"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,Young Adult,2010,English,3.91,"144,539","2,013",26,https://www.goodreads.com/book/show/6654313-linger
340,"Teacher Man (Frank McCourt, #3)",Frank McCourt,Nonfiction,2006,English,3.75,"29,125","2,000",24,https://www.goodreads.com/book/show/4909.Teacher_Man
341,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,Nonfiction,2006,English,3.68,"92,978","1,994",24,https://www.goodreads.com/book/show/1911.The_World_Is_Flat
342,"Inferno (Robert Langdon, #4)",Dan Brown,Fiction,2013,English,3.84,"430,136","1,983",24,https://www.goodreads.com/book/show/17212231-inferno
343,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,Fiction,2013,English,4.02,"398,773","1,966",24,https://www.goodreads.com/book/show/16181775-the-rosie-project
344,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,Fantasy,2014,English,4.46,"256,410","1,956",26,https://www.goodreads.com/book/show/8755785-city-of-heavenly-fire
345,"Mistress of the Art of Death (Mistress of the Art of Death, #1)",Ariana Franklin,Historical,2007,English,3.95,"31,786","1,929",23,https://www.goodreads.com/book/show/86643.Mistress_of_the_Art_of_Death
346,The Dive From Clausen's Pier,Ann Packer,Fiction,2003,English,3.42,"21,002","1,915",23,https://www.goodreads.com/book/show/16059.The_Dive_From_Clausen_s_Pier
347,The Kindly Ones,Jonathan Littell,Fiction,2009,English,4.06,"7,477","1,904",21,https://www.goodreads.com/book/show/3755250-the-kindly-ones
348,Falling Man,Don DeLillo,Fiction,2007,English,3.21,"11,854","1,901",19,https://www.goodreads.com/book/show/28700.Falling_Man
349,The Reluctant Fundamentalist,Mohsin Hamid,Fiction,2007,English,3.71,"53,670","1,893",24,https://www.goodreads.com/book/show/88815.The_Reluctant_Fundamentalist
350,Dark Places,Gillian Flynn,Mystery,2009,English,3.93,"511,447","1,885",23,https://www.goodreads.com/book/show/5886881-dark-places
351,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,History,2014,English,4.11,"1,089","1,883",19,https://www.goodreads.com/book/show/18300212-the-trigger
352,"The Reckoning (Darkest Powers, #3)",Kelley Armstrong,Young Adult,2010,English,4.21,"104,188","1,868",25,https://www.goodreads.com/book/show/6468666-the-reckoning
353,"Marked (House of Night, #1)",P.C. Cast,Young Adult,2007,English,3.80,"407,522","1,867",27,https://www.goodreads.com/book/show/30183.Marked
354,I Am the Messenger,Markus Zusak,Young Adult,2006,English,4.07,"124,976","1,863",23,https://www.goodreads.com/book/show/19057.I_Am_the_Messenger
355,Inherent Vice,Thomas Pynchon,Fiction,2009,English,3.74,"24,638","1,836",22,https://www.goodreads.com/book/show/5933841-inherent-vice
356,The Snow Child,Eowyn Ivey,Fiction,2012,English,3.97,"106,890","1,826",23,https://www.goodreads.com/book/show/11250053-the-snow-child
357,"Unwind (Unwind, #1)",Neal Shusterman,Young Adult,2007,English,4.18,"179,867","1,821",21,https://www.goodreads.com/book/show/764347.Unwind
358,Dry,Augusten Burroughs,Autobiography,2004,English,4.02,"80,287","1,812",21,https://www.goodreads.com/book/show/32370.Dry
359,"Darkfever (Fever, #1)",Karen Marie Moning,Fantasy,2006,English,4.11,"143,727","1,811",23,https://www.goodreads.com/book/show/112750.Darkfever
360,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,Nonfiction,2013,English,4.11,"353,576","1,811",23,https://www.goodreads.com/book/show/17851885-i-am-malala
361,The Light Between Oceans,M.L. Stedman,Fiction,2012,English,4.02,"365,061","1,809",22,https://www.goodreads.com/book/show/13158800-the-light-between-oceans
362,South of Broad,Pat Conroy,Fiction,2009,English,3.81,"38,659","1,807",22,https://www.goodreads.com/book/show/6135237-south-of-broad
363,Bridge of Sighs,Richard Russo,Fiction,2007,English,3.80,"20,107","1,806",22,https://www.goodreads.com/book/show/107821.Bridge_of_Sighs
364,The Tender Bar,J.R. Moehringer,Autobiography,2006,English,3.95,"27,986","1,805",20,https://www.goodreads.com/book/show/144977.The_Tender_Bar
365,"Betrayed (House of Night, #2)",P.C. Cast,Young Adult,2007,English,3.93,"230,768","1,804",24,https://www.goodreads.com/book/show/676924.Betrayed
366,"The Scorch Trials (The Maze Runner, #2)",James Dashner,Young Adult,2010,English,3.92,"406,291","1,798",23,https://www.goodreads.com/book/show/7631105-the-scorch-trials
367,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,Fantasy,2013,English,4.45,"278,848","1,796",23,https://www.goodreads.com/book/show/17167166-crown-of-midnight
368,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,Young Adult,2010,English,4.06,"259,786","1,795",24,https://www.goodreads.com/book/show/7791997-crescendo
369,"Fables, Vol. 1: Legends in Exile",Bill Willingham,Sequential Art,2002,English,3.97,"122,383","1,790",21,https://www.goodreads.com/book/show/21326.Fables_Vol_1
370,"Wool Omnibus (Silo, #1)",Hugh Howey,Science Fiction,2012,English,4.23,"147,085","1,788",22,https://www.goodreads.com/book/show/13453029-wool-omnibus
371,"Pretties (Uglies, #2)",Scott Westerfeld,Young Adult,2005,English,3.85,"221,534","1,767",23,https://www.goodreads.com/book/show/24768.Pretties
372,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,History,2011,English,3.83,"145,720","1,760",22,https://www.goodreads.com/book/show/9938498-in-the-garden-of-beasts
373,"Bloodlines (Bloodlines, #1)",Richelle Mead,Young Adult,2011,English,4.21,"159,976","1,748",23,https://www.goodreads.com/book/show/8709527-bloodlines
374,"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,Fantasy,2007,English,3.69,"144,891","1,741",23,https://www.goodreads.com/book/show/305234.Wicked_Lovely
375,"Tiger's Voyage (The Tiger Saga, #3)",Colleen Houck,Fantasy,2011,English,4.34,"29,946","1,703",18,https://www.goodreads.com/book/show/7849341-tiger-s-voyage
376,Quidditch Through the Ages,Kennilworthy Whisp,Fantasy,2001,English,3.86,"127,525","1,700",25,https://www.goodreads.com/book/show/111450.Quidditch_Through_the_Ages
377,Exotic Neurotic,Kenneth Jarrett Singleton,Poetry,2016,English,4.39,344,"1,700",17,https://www.goodreads.com/book/show/29395568-exotic-neurotic
378,زندگی مه آلود پریا,سید مرتضی مصطفوی,Fiction,2015,Persian,3.92,924,"1,699",17,https://www.goodreads.com/book/show/40937505
379,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,Fantasy,2006,English,4.30,"189,660","1,697",19,https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
380,Why She Left Us,David Dennis,Suspense,2012,English,4.06,157,"1,697",17,https://www.goodreads.com/book/show/16240980-why-she-left-us
381,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,Fantasy,2007,English,4.02,"182,222","1,688",23,https://www.goodreads.com/book/show/140079.Definitely_Dead
382,Station Eleven,Emily St. John Mandel,Fiction,2014,English,4.03,"266,887","1,687",20,https://www.goodreads.com/book/show/20170404-station-eleven
383,Outliers: The Story of Success,Malcolm Gladwell,Nonfiction,2008,English,4.14,"464,276","1,668",20,https://www.goodreads.com/book/show/3228917-outliers
384,"Untamed (House of Night, #4)",P.C. Cast,Young Adult,2008,English,3.95,"207,016","1,660",23,https://www.goodreads.com/book/show/2866718-untamed
385,"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,Fantasy,2011,English,4.21,"145,717","1,657",21,https://www.goodreads.com/book/show/9067850-the-throne-of-fire
386,The Cellist of Sarajevo,Steven Galloway,Fiction,2008,English,4.02,"29,597","1,655",20,https://www.goodreads.com/book/show/2475251.The_Cellist_of_Sarajevo
387,"Dead and Gone (Sookie Stackhouse, #9)",Charlaine Harris,Fantasy,2009,English,4.02,"169,033","1,645",23,https://www.goodreads.com/book/show/5161066-dead-and-gone
388,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,Womens Fiction,2002,English,3.72,"271,299","1,637",21,https://www.goodreads.com/book/show/14748.Good_in_Bed
389,"Hunted (House of Night, #5)",P.C. Cast,Young Adult,2009,English,3.93,"156,232","1,637",23,https://www.goodreads.com/book/show/4134071-hunted
390,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Nonfiction,2012,English,3.99,"547,233","1,637",19,https://www.goodreads.com/book/show/12262741-wild
391,"Torment (Fallen, #2)",Lauren Kate,Young Adult,2010,English,3.88,"198,543","1,632",23,https://www.goodreads.com/book/show/7740152-torment
392,Just Listen,Sarah Dessen,Young Adult,2006,English,4.06,"224,414","1,611",23,https://www.goodreads.com/book/show/51738.Just_Listen
393,Steve Jobs,Walter Isaacson,Biography,2011,English,4.13,"851,080","1,609",19,https://www.goodreads.com/book/show/11084145-steve-jobs
394,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,Young Adult,2013,English,4.06,"356,774","1,609",22,https://www.goodreads.com/book/show/16101128-the-5th-wave
395,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,Fiction,2012,English,3.75,"162,177","1,603",19,https://www.goodreads.com/book/show/13538873-mr-penumbra-s-24-hour-bookstore
396,"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,Horror,2009,English,3.78,"74,297","1,595",19,https://www.goodreads.com/book/show/6065215-the-strain
397,Winter's Bone,Daniel Woodrell,Fiction,2010,English,3.91,"27,793","1,593",21,https://www.goodreads.com/book/show/112525.Winter_s_Bone
398,The Line of Beauty,Alan Hollinghurst,Fiction,2004,English,3.73,"20,855","1,588",20,https://www.goodreads.com/book/show/139087.The_Line_of_Beauty
399,The Children's Book,A.S. Byatt,Fiction,2009,English,3.67,"14,117","1,585",20,https://www.goodreads.com/book/show/6280379-the-children-s-book
400,"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,Fantasy,2006,English,4.01,"192,989","1,583",22,https://www.goodreads.com/book/show/170210.Dead_as_a_Doornail
401,Drop City,T. Coraghessan Boyle,Fiction,2004,English,3.85,"11,042","1,580",19,https://www.goodreads.com/book/show/24724.Drop_City
402,A Man Called Ove,Fredrik Backman,Fiction,2014,English,4.36,"469,403","1,574",21,https://www.goodreads.com/book/show/18774964-a-man-called-ove
403,"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,Fantasy,2007,English,4.17,"127,985","1,570",20,https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
404,Death with Interruptions,José Saramago,Fiction,2008,English,really,avg,"1,562",17,https://www.goodreads.com/book/show/3018539-death-with-interruptions
405,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",Tracy Kidder,Nonfiction,2004,English,4.22,"65,819","1,548",19,https://www.goodreads.com/book/show/10235.Mountains_Beyond_Mountains
406,The Tenderness of Wolves,Stef Penney,Fiction,2007,English,3.76,"11,010","1,536",18,https://www.goodreads.com/book/show/315340.The_Tenderness_of_Wolves
407,Tree of Smoke,Denis Johnson,Fiction,2007,English,3.53,"10,641","1,530",18,https://www.goodreads.com/book/show/271074.Tree_of_Smoke
408,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,Fantasy,2013,English,4.55,"228,579","1,526",20,https://www.goodreads.com/book/show/12127810-the-house-of-hades
409,Curse of The Salute,Anastacia Moore,Thriller,2012,English,4.38,37,"1,500",15,https://www.goodreads.com/book/show/17904495-curse-of-the-salute
410,The Woods,Harlan Coben,Mystery,2007,English,4.04,"62,445","1,494",17,https://www.goodreads.com/book/show/43931.The_Woods
411,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,Fantasy,2014,English,4.50,"226,732","1,485",18,https://www.goodreads.com/book/show/20613470-heir-of-fire
412,The Windup Girl,Paolo Bacigalupi,Science Fiction,2009,English,3.75,"60,298","1,475",18,https://www.goodreads.com/book/show/6597651-the-windup-girl
413,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,Nonfiction,2012,English,3.90,"148,407","1,473",18,https://www.goodreads.com/book/show/12868761-let-s-pretend-this-never-happened
414,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,Womens Fiction,2004,English,3.85,"480,673","1,459",19,https://www.goodreads.com/book/show/42156.Something_Borrowed
415,"The Golden Lily (Bloodlines, #2)",Richelle Mead,Young Adult,2012,English,4.35,"100,600","1,454",19,https://www.goodreads.com/book/show/8709523-the-golden-lily
416,"The Magicians (The Magicians, #1)",Lev Grossman,Fantasy,2009,English,3.51,"211,466","1,451",17,https://www.goodreads.com/book/show/6101718-the-magicians
417,The Luminaries,Eleanor Catton,Fiction,2013,English,3.72,"58,036","1,438",18,https://www.goodreads.com/book/show/17333230-the-luminaries
418,"Percy Jackson and the Olympians (Percy Jackson and the Olympians, #1-3)",Rick Riordan,Fantasy,2008,English,4.58,"37,354","1,435",17,https://www.goodreads.com/book/show/3165162-percy-jackson-and-the-olympians
419,The Invention of Wings,Sue Monk Kidd,Historical,2014,English,4.24,"241,801","1,435",19,https://www.goodreads.com/book/show/18079776-the-invention-of-wings
420,The Art of Fielding,Chad Harbach,Fiction,2011,English,3.99,"99,007","1,433",18,https://www.goodreads.com/book/show/10996342-the-art-of-fielding
421,"The Ghost Map: The Story of London's Most Terrifying Epidemic--and How It Changed Science, Cities, and the Modern World",Steven Johnson,History,2006,English,3.91,"34,964","1,432",18,https://www.goodreads.com/book/show/36086.The_Ghost_Map
422,The Paris Wife,Paula McLain,Historical,2011,English,3.81,"244,797","1,422",21,https://www.goodreads.com/book/show/8683812-the-paris-wife
423,Artemis Fowl,Eoin Colfer,Fantasy,2003,English,3.84,"456,001","1,416",20,https://www.goodreads.com/book/show/249747.Artemis_Fowl
424,Infidel,Ayaan Hirsi Ali,Nonfiction,2007,English,4.21,"72,395","1,415",17,https://www.goodreads.com/book/show/81227.Infidel
425,"Awakened (House of Night, #8)",P.C. Cast,Paranormal,2011,English,4.02,"117,809","1,410",20,https://www.goodreads.com/book/show/8652190-awakened
426,Life... Love... Kumbh...,Aporva Kala,Romance,2011,English,4.13,162,"1,395",14,https://www.goodreads.com/book/show/14058818-life-love-kumbh
427,Love Is a Mix Tape,Rob Sheffield,Music,2007,English,3.84,"28,032","1,378",16,https://www.goodreads.com/book/show/46190.Love_Is_a_Mix_Tape
428,Safe Haven,Nicholas Sparks,Romance,2010,English,4.21,"315,372","1,375",18,https://www.goodreads.com/book/show/7812659-safe-haven
429,Unless,Carol Shields,Fiction,2003,English,3.63,"12,243","1,367",16,https://www.goodreads.com/book/show/74462.Unless
430,Mister Pip,Lloyd Jones,Historical,2007,English,3.67,"17,113","1,356",16,https://www.goodreads.com/book/show/543873.Mister_Pip
431,The City & the City,China Miéville,Fantasy,2009,English,3.91,"47,269","1,356",17,https://www.goodreads.com/book/show/4703581-the-city-the-city
432,Half Broke Horses,Jeannette Walls,Autobiography,2009,English,4.07,"134,254","1,353",16,https://www.goodreads.com/book/show/6366437-half-broke-horses
433,Case Histories (Jackson Brodie #1),Kate Atkinson,Mystery,2005,English,3.83,"74,927","1,350",17,https://www.goodreads.com/book/show/16243.Case_Histories
434,Nights in Rodanthe,Nicholas Sparks,Romance,2004,English,3.83,"147,324","1,342",17,https://www.goodreads.com/book/show/15926.Nights_in_Rodanthe
435,A Tale for the Time Being,Ruth Ozeki,Fiction,2013,English,really,avg,"1,341",15,https://www.goodreads.com/book/show/15811545-a-tale-for-the-time-being
436,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,Fiction,2004,English,3.93,"34,236","1,335",16,https://www.goodreads.com/book/show/823.Quicksilver
437,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,Young Adult,2006,English,3.83,"168,320","1,335",17,https://www.goodreads.com/book/show/852470.I_d_Tell_You_I_Love_You_But_Then_I_d_Have_to_Kill_You
438,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,Fiction,2007,English,4.07,"80,392","1,334",17,https://www.goodreads.com/book/show/1158967.Garden_Spells
439,I am Charlotte Simmons,Tom Wolfe,Fiction,2005,English,3.42,"23,381","1,327",16,https://www.goodreads.com/book/show/231.I_am_Charlotte_Simmons
440,For One More Day,Mitch Albom,Fiction,2006,English,4.10,"118,175","1,321",17,https://www.goodreads.com/book/show/10929.For_One_More_Day
441,Girl in Translation,Jean Kwok,Fiction,2010,English,3.98,"44,107","1,318",17,https://www.goodreads.com/book/show/7362158-girl-in-translation
442,"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,Fantasy,2005,English,4.13,"122,840","1,301",18,https://www.goodreads.com/book/show/179064.The_Goose_Girl
443,The Bridge To Caracas (The King Trilogy #1),Stephen Douglass,Thriller,2011,English,4.10,322,"1,293",13,https://www.goodreads.com/book/show/22842297-the-bridge-to-caracas
444,The Raw Shark Texts,Steven Hall,Fiction,2007,English,3.87,"15,663","1,292",14,https://www.goodreads.com/book/show/144800.The_Raw_Shark_Texts
445,"Pattern Recognition (Blue Ant, #1)",William Gibson,Fiction,2005,English,3.87,"41,432","1,291",17,https://www.goodreads.com/book/show/22320.Pattern_Recognition
446,The Chronicle of Sapta Sindhu,Aporva Kala,War,2012,English,4.01,142,"1,288",13,https://www.goodreads.com/book/show/16457950-the-chronicle-of-sapta-sindhu
447,"Old Man's War (Old Man's War, #1)",John Scalzi,Science Fiction,2007,English,4.24,"142,418","1,277",15,https://www.goodreads.com/book/show/51964.Old_Man_s_War
448,"The Dark Tower (The Dark Tower, #7)",Stephen King,Fantasy,2006,English,4.28,"131,182","1,275",15,https://www.goodreads.com/book/show/5091.The_Dark_Tower
449,"Fade (Wake, #2)",Lisa McMann,Young Adult,2009,English,3.95,"46,881","1,271",16,https://www.goodreads.com/book/show/3657138-fade
450,"Seven Up (Stephanie Plum, #7)",Janet Evanovich,Mystery,2002,English,4.16,"107,894","1,269",15,https://www.goodreads.com/book/show/6424.Seven_Up
451,It's Kind of a Funny Story,Ned Vizzini,Young Adult,2007,English,4.13,"195,681","1,269",14,https://www.goodreads.com/book/show/248704.It_s_Kind_of_a_Funny_Story
452,"Full Dark, No Stars",Stephen King,Horror,2010,English,4.06,"84,695","1,256",15,https://www.goodreads.com/book/show/7912007-full-dark-no-stars
453,"Lirael (Abhorsen, #2)",Garth Nix,Fantasy,2015,English,4.29,"100,280","1,253",15,https://www.goodreads.com/book/show/47624.Lirael
454,"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,Young Adult,2011,English,3.91,"102,237","1,250",18,https://www.goodreads.com/book/show/9409458-forever
455,"Burned (House of Night, #7)",P.C. Cast,Young Adult,2010,English,3.98,"136,626","1,250",18,https://www.goodreads.com/book/show/6917952-burned
456,"Life As We Knew It (Last Survivors, #1)",Susan Beth Pfeffer,Young Adult,2006,English,3.89,"108,396","1,246",15,https://www.goodreads.com/book/show/213753.Life_As_We_Knew_It
457,"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,Fantasy,2003,English,4.03,"66,090","1,246",15,https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
458,"Sovereign (Matthew Shardlake, #3)",C.J. Sansom,Historical,2007,English,4.29,"18,815","1,245",15,https://www.goodreads.com/book/show/138684.Sovereign
459,Star of the Sea,Joseph O'Connor,Historical,2004,English,3.98,"6,317","1,238",15,https://www.goodreads.com/book/show/147848.Star_of_the_Sea
460,A Mercy,Toni Morrison,Fiction,2008,English,3.69,"19,075","1,235",15,https://www.goodreads.com/book/show/3009435-a-mercy
461,The Terror,Dan Simmons,Horror,2007,English,4.06,"37,238","1,229",14,https://www.goodreads.com/book/show/3974.The_Terror
462,"Obsidian (Lux, #1)",Jennifer L. Armentrout,Young Adult,2012,English,4.20,"206,926","1,227",16,https://www.goodreads.com/book/show/12578077-obsidian
463,"To the Nines (Stephanie Plum, #9)",Janet Evanovich,Mystery,2004,English,4.17,"102,104","1,226",15,https://www.goodreads.com/book/show/40331.To_the_Nines
464,The Night Watch,Sarah Waters,Historical,2006,English,3.69,"22,257","1,226",15,https://www.goodreads.com/book/show/25584847-the-night-watch
465,Beautiful Ruins,Jess Walter,Fiction,2012,English,3.68,"149,991","1,221",16,https://www.goodreads.com/book/show/11447921-beautiful-ruins
466,A Gentleman in Moscow,Amor Towles,Historical,2016,English,4.36,"202,827","1,220",14,https://www.goodreads.com/book/show/29430012-a-gentleman-in-moscow
467,HHhH,Laurent Binet,Fiction,2010,French,4.09,"16,228","1,214",13,https://www.goodreads.com/book/show/7992363-hhhh
468,The Big Short: Inside the Doomsday Machine,Michael   Lewis,Nonfiction,2015,unknown,4.28,"122,313","1,207",14,https://www.goodreads.com/book/show/26889576-the-big-short
469,My Life in France,Julia Child,Nonfiction,2006,English,4.17,"74,005","1,205",15,https://www.goodreads.com/book/show/5084.My_Life_in_France
470,Life Expectancy,Dean Koontz,Horror,2005,English,really,avg,"1,200",14,https://www.goodreads.com/book/show/16435.Life_Expectancy
471,"Aegis Rising (The Aegis League, #1)",S.S. Segran,Fantasy,2013,English,3.89,480,"1,198",12,https://www.goodreads.com/book/show/22500587-aegis-rising
472,"Gone (Wake, #3)",Lisa McMann,Young Adult,2010,English,3.72,"27,502","1,197",15,https://www.goodreads.com/book/show/7124095-gone
473,"Phantom Wolf (Phantom Wolf, #1)",Kia Carrington-Russell,Fantasy,2014,English,3.94,107,"1,195",12,https://www.goodreads.com/book/show/22404103-phantom-wolf
474,Van Laven Chronicles: Throne of Novoxos,Tyler Chase,Science Fiction,2014,unknown,4.35,302,"1,193",12,https://www.goodreads.com/book/show/23258641-van-laven-chronicles
475,Saving CeeCee Honeycutt,Beth Hoffman,Fiction,2010,English,3.93,"73,575","1,190",15,https://www.goodreads.com/book/show/6617928-saving-ceecee-honeycutt
476,"Trust: A New Beginning (Trust Trilogy, #1)",Cristiane Serruya,Romance,2012,English,3.80,667,"1,190",12,https://www.goodreads.com/book/show/16160314-trust
477,Duma Key,Stephen King,Horror,2008,English,3.94,"93,808","1,187",15,https://www.goodreads.com/book/show/472343.Duma_Key
478,"Hard Eight (Stephanie Plum, #8)",Janet Evanovich,Mystery,2003,English,4.17,"106,535","1,185",15,https://www.goodreads.com/book/show/6425.Hard_Eight
479,"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,Fantasy,2008,English,4.37,"100,466","1,181",16,https://www.goodreads.com/book/show/1412138.Iron_Kissed
480,"Passion (Fallen, #3)",Lauren Kate,Young Adult,2011,English,3.89,"139,169","1,181",16,https://www.goodreads.com/book/show/9369720-passion
481,"Dead Witch Walking (The Hollows, #1)",Kim Harrison,Fantasy,2004,English,4.04,"105,448","1,175",15,https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
482,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,Young Adult,2004,English,4.10,"74,331","1,175",16,https://www.goodreads.com/book/show/13376.The_House_of_the_Scorpion
483,"Midnight Sun (Twilight, #1.5)",Stephenie Meyer,Young Adult,2008,English,4.02,"142,777","1,172",15,https://www.goodreads.com/book/show/4502877-midnight-sun
484,The Book of Salt,Monique Truong,Fiction,2004,English,3.51,"4,648","1,170",13,https://www.goodreads.com/book/show/2719.The_Book_of_Salt
485,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,Romance,2011,English,4.12,"508,397","1,170",16,https://www.goodreads.com/book/show/11505797-beautiful-disaster
486,Number9Dream,David Mitchell,Fiction,2003,English,3.91,"19,256","1,166",15,https://www.goodreads.com/book/show/6820.Number9Dream
487,"Across the Nightingale Floor (Tales of the Otori, #1)",Lian Hearn,Fantasy,2002,English,4.06,"33,649","1,165",13,https://www.goodreads.com/book/show/77160.Across_the_Nightingale_Floor
488,The Sacred Band,Janet E. Morris,Fantasy,2010,English,4.50,297,"1,165",12,https://www.goodreads.com/book/show/8617107-the-sacred-band
489,The March,E.L. Doctorow,Historical,2006,English,3.80,"9,523","1,154",16,https://www.goodreads.com/book/show/24914.The_March
490,"In the Night Garden (The Orphan's Tales, #1)",Catherynne M. Valente,Fantasy,2006,English,4.14,"6,427","1,143",12,https://www.goodreads.com/book/show/202769.In_the_Night_Garden
491,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,Womens Fiction,2006,English,3.73,"750,099","1,140",17,https://www.goodreads.com/book/show/5139.The_Devil_Wears_Prada
492,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott,Fantasy,2010,English,3.84,"130,321","1,139",15,https://www.goodreads.com/book/show/17402605-the-alchemyst
493,The Lace Reader,Brunonia Barry,Fiction,2007,English,3.47,"26,685","1,134",14,https://www.goodreads.com/book/show/1951125.The_Lace_Reader
494,The Underground Railroad,Colson Whitehead,Historical,2016,English,4.02,"237,081","1,124",15,https://www.goodreads.com/book/show/30555488-the-underground-railroad
495,"Crossed (Matched, #2)",Ally Condie,Young Adult,2013,English,3.52,"198,695","1,122",16,https://www.goodreads.com/book/show/15812814-crossed
496,The People of Paper,Salvador Plascencia,Fiction,2006,English,4.09,"4,564","1,118",12,https://www.goodreads.com/book/show/43603.The_People_of_Paper
497,Oblivion,David Foster Wallace,Short Stories,2005,English,4.07,"11,597","1,117",12,https://www.goodreads.com/book/show/6749.Oblivion
498,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,Young Adult,2011,English,4.07,"145,076","1,107",15,https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer
499,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,Humor,2007,English,3.85,"146,668","1,104",13,https://www.goodreads.com/book/show/40173.Are_You_There_Vodka_It_s_Me_Chelsea
500,The God Complex,Chris Titus,Fiction,2011,English,3.47,230,"1,100",11,https://www.goodreads.com/book/show/12279098-the-god-complex
501,Meeting With Christ and Other Poems,Deepak Chaswal,Poetry,2013,English,4.60,82,"1,100",11,https://www.goodreads.com/book/show/18334644-meeting-with-christ-and-other-poems
502,"The Likeness (Dublin Murder Squad, #2)",Tana French,Mystery,2008,English,4.06,"106,712","1,099",14,https://www.goodreads.com/book/show/1914973.The_Likeness
503,Curiosity kills the KatHA,Ashok  Kallarakkal,Short Stories,2012,English,3.71,72,"1,099",11,https://www.goodreads.com/book/show/16069963-curiosity-kills-the-katha
504,"Persepolis 2: The Story of a Return (Persepolis, #2)",Marjane Satrapi,Sequential Art,2005,English,4.25,"57,714","1,095",13,https://www.goodreads.com/book/show/9517.Persepolis_2
505,What I Loved,Siri Hustvedt,Fiction,2003,English,4.05,"14,052","1,090",12,https://www.goodreads.com/book/show/125502.What_I_Loved
506,Marie Antoinette: The Journey,Antonia Fraser,History,2006,English,3.93,"29,476","1,090",13,https://www.goodreads.com/book/show/17157.Marie_Antoinette
507,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,Fantasy,2012,English,4.03,"239,833","1,086",13,https://www.goodreads.com/book/show/10194157-shadow-and-bone
508,"Pandemonium (Delirium, #2)",Lauren Oliver,Young Adult,2012,English,4.05,"213,998","1,080",15,https://www.goodreads.com/book/show/9593911-pandemonium
509,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,Nonfiction,2002,English,4.06,"43,724","1,078",14,https://www.goodreads.com/book/show/13839.The_Botany_of_Desire
510,Half the Sky: Turning Oppression Into Opportunity for Women Worldwide,Nicholas D. Kristof,Nonfiction,2009,English,4.30,"47,932","1,072",13,https://www.goodreads.com/book/show/6260997-half-the-sky
511,The Miraculous Journey of Edward Tulane,Kate DiCamillo,Fantasy,2006,English,4.37,"70,472","1,065",13,https://www.goodreads.com/book/show/37186.The_Miraculous_Journey_of_Edward_Tulane
512,Skeletons at the Feast,Chris Bohjalian,Historical,2008,English,really,avg,"1,061",12,https://www.goodreads.com/book/show/2017056.Skeletons_at_the_Feast
